id,level_1,level_2,level_3,level_4,level_5
1,ML Methods,Regression Analysis,,,
2,ML Methods,Regression Analysis,Logistic Regression,,
3,ML Methods,Regression Analysis,Linear Regression,Ordinary Least Squares Regression,
4,ML Methods,Regression Analysis,Linear Regression,,
5,ML Methods,Regression Analysis,Stepwise Regression,,
6,ML Methods,Regression Analysis,Multivariate Adaptive Regression Splines,,
7,ML Methods,Regression Analysis,Regularization Techniques,,
8,ML Methods,Regression Analysis,Regularization Techniques,Ridge Regression,
9,ML Methods,Regression Analysis,Regularization Techniques,Least Absolute Shrinkage and Selection Operator (LASSO),
10,ML Methods,Regression Analysis,Regularization Techniques,Least-angle Regression,
11,ML Methods,Regression Analysis,Regression Classifiers,,
12,ML Methods,Regression Analysis,Regression Classifiers,Naive Bayes,
13,ML Methods,Regression Analysis,Regression Classifiers,Binary Classifier,
14,ML Methods,Regression Analysis,Regression Classifiers,Linear Classifier,
15,ML Methods,Regression Analysis,Regression Classifiers,Hierarchical Classifier,
16,ML Methods,Dimensionality Reduction,,,
17,ML Methods,Dimensionality Reduction,Canonical correlation analysis,,
18,ML Methods,Dimensionality Reduction,Factor analysis,,
19,ML Methods,Dimensionality Reduction,Feature extraction,,
20,ML Methods,Dimensionality Reduction,Feature selection,,
21,ML Methods,Dimensionality Reduction,Independent Component Analysis,,
22,ML Methods,Dimensionality Reduction,Linear Discriminant Analysis,,
23,ML Methods,Dimensionality Reduction,Multi-dimensional scaling (MDS),,
24,ML Methods,Dimensionality Reduction,Non-negative matrix factorization,,
25,ML Methods,Dimensionality Reduction,Partial least squares regression,,
26,ML Methods,Dimensionality Reduction,Principal component analysis (PCA),,
27,ML Methods,Dimensionality Reduction,Principal component regression,,
28,ML Methods,Dimensionality Reduction,Projection pursuit,,
29,ML Methods,Dimensionality Reduction,Sammon mapping,,
30,ML Methods,Dimensionality Reduction,t-distributed stochastic neighbor embedding (t-SNE),,
31,ML Methods,Ensemble Learning,,,
32,ML Methods,Ensemble Learning,AdaBoost,,
33,ML Methods,Ensemble Learning,Boosting,,
34,ML Methods,Ensemble Learning,Bootstrap aggregating,,
35,ML Methods,Ensemble Learning,Ensemble averaging,,
36,ML Methods,Ensemble Learning,Gradient boosted decision tree,,
37,ML Methods,Ensemble Learning,Gradient boosting,,
38,ML Methods,Ensemble Learning,Stacked Generalization,,
39,ML Methods,Ensemble Learning,Random Forest,,
40,ML Methods,Meta-learning,,,
41,ML Methods,Meta-learning,Inductive bias,,
42,ML Methods,Meta-learning,Metadata,,
43,ML Methods,Reinforcement learning,,,
44,ML Methods,Reinforcement learning,Value-Based Methods,Q-learning,
46,ML Methods,Reinforcement learning,Value-Based Methods,Temporal difference learning,
47,ML Methods,Reinforcement learning,Learning Automata,,
48,ML Methods,Supervised Learning,,,
49,ML Methods,Supervised Learning,Averaged One-Dependence Estimators ,,
50,ML Methods,Supervised Learning,Artificial neural network,,
51,ML Methods,Supervised Learning,Case-based reasoning,,
52,ML Methods,Supervised Learning,Gaussian process regression,,
53,ML Methods,Supervised Learning,Group method of data handling,,
54,ML Methods,Supervised Learning,Inductive logic programming,,
55,ML Methods,Supervised Learning,Instance-based learning,,
56,ML Methods,Supervised Learning,Lazy learning,,
57,ML Methods,Supervised Learning,Learning Automata,,
58,ML Methods,Supervised Learning,Learning Vector Quantization,,
59,ML Methods,Supervised Learning,Logistic Model Tree,,
60,ML Methods,Supervised Learning,k-nearest neighbor (KNN),,
61,ML Methods,Supervised Learning,Analogical modeling,,
62,ML Methods,Supervised Learning,Probably approximately correct learning,,
63,ML Methods,Supervised Learning,Ripple down rules,,
64,ML Methods,Supervised Learning,Support vector machines,,
65,ML Methods,Supervised Learning,Random Forest,,
66,ML Methods,Supervised Learning,Bootstrap aggregating,,
67,ML Methods,Supervised Learning,Boosting,,
68,ML Methods,Supervised Learning,Ordinal classification,,
69,ML Methods,Supervised Learning,Conditional Random Field,,
70,ML Methods,Supervised Learning,ANOVA,,
71,ML Methods,Supervised Learning,Quadratic classifiers,,
72,ML Methods,Supervised Learning,Bayesian Network,,
73,ML Methods,Supervised Learning,Hidden Markov models,,
74,ML Methods,Supervised Learning,Hidden Markov models,Hierarchical hidden Markov model,
75,ML Methods,Bayesian Statistics,,,
76,ML Methods,Bayesian Statistics,Naive Bayes,,
77,ML Methods,Bayesian Statistics,Gaussian Naive Bayes,,
78,ML Methods,Bayesian Statistics,Multinomial Naive Bayes,,
79,ML Methods,Bayesian Statistics,Averaged One-Dependence Estimators ,,
80,ML Methods,Bayesian Statistics,Bayesian Belief Network,,
