Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
k-means,"A clustering algorithm that groups examples in unsupervised learning. The k-means algorithm basically does the following: The k-means algorithm picks centroid locations to minimize the cumulativesquareof the distances from each example to its closest centroid. For example, consider the following plot of dog height to dog width:  If k=3, the k-means algorithm will determine three centroids. Each example
is assigned to its closest centroid, yielding three groups:  Imagine that a manufacturer wants to determine the ideal sizes for small,
medium, and large sweaters for dogs. The three centroids identify the mean
height and mean width of each dog in that cluster. So, the manufacturer
should probably base sweater sizes on those three centroids. Note that
the centroid of a cluster is typicallynotan example in the cluster. The preceding illustrations shows k-means for examples with only
two features (height and width). Note that k-means can group examples
across many features.",,"['centroid', 'clustering', 'feature', 'width']",,false,"(k(\s|-)?means|\s(\s|\.|\,))"
Low-Rank Adaptability (LoRA),"An algorithm for performing parameter efficient tuning (PEFT) that fine-tunes only a subset of an LLMs parameters.

An LLM tuned with LoRA maintains or improves the quality of its predictions. LoRA enables multiple specialized versions of a model.",LoRA,"['language model', 'large language model', 'model', 'parameter', 'prediction']",,false,"(Low(\s|-)?Rank(\s|-)?Adaptability(\s|-)?()|\sLoRA(\s|\.|\,)|\s(\s|\.|\,))"
gradient boosting,"A training algorithm where weak models are trained to iteratively
improve the quality (reduce the loss) of a strong model. For example, a weak model could be a linear or small decision tree model.
The strong model becomes the sum of all the previously trained weak models. In the simplest form of gradient boosting, at each iteration, a weak model
is trained to predict the loss gradient of the strong model. Then, the
strong model's output is updated by subtracting the predicted gradient, similar to gradient descent. where: Modern variations of gradient boosting also include the second derivative
(Hessian) of the loss in their computation. Decision trees are commonly used as weak models in gradient boosting. See gradient boosted (decision) trees.",,"['boosting', 'decision tree', 'gradient', 'gradient descent', 'iteration', 'linear', 'loss', 'model', 'training', 'intersection over union', 'Tensor Processing Unit']",,false,"(gradient(\s|-)?boost|\s(\s|\.|\,))"
A/B testing,"A statistical way of comparing two (or more) techniques—theAand theB. Typically, theAis an existing technique, and theBis a new technique.
A/B testing not only determines which technique performs better
but also whether the difference is statistically significant. A/B testing usually compares a singlemetricon two techniques;
for example, how does modelaccuracycompare for two
techniques? However, A/B testing can also compare any finite number of
metrics.",,"['accuracy', 'metric', 'model', 'test']",,false,"(A/B(\s|-)?test|\s(\s|\.|\,))"
AutoML,"Any automated process for buildingmachine learningmodels. AutoML can automatically do tasks such as the following: AutoML is useful for data scientists because it can save them time and
effort in developing machine learning pipelines and improve prediction
accuracy. It is also useful to non-experts, by making complicated
machine learning tasks more accessible to them.",,"['accuracy', 'machine learning', 'model', 'pipeline', 'prediction', 'task']",,false,"(AutoML|\s(\s|\.|\,))"
BLEU (Bilingual Evaluation Understudy),"A score between 0.0 and 1.0, inclusive, indicating the quality of a translation
between two human languages (for example, between English and Russian). A BLEU
score of 1.0 indicates a perfect translation; a BLEU score of 0.0 indicates a
terrible translation. ",BLEU,[],,false,"((\s|-)?|\sBLEU(\s|\.|\,)|\s(\s|\.|\,))"
Cloud TPU,"A specialized hardware accelerator designed to speed up machine
learning workloads on Google Cloud.",,[],,false,"(Cloud(\s|-)?TPU|\s(\s|\.|\,))"
negative class,"In binary classification, one class is
termed positive and the other is termednegative. The positive class is
the thing or event that the model is testing for and the negative class is the
other possibility. For example: Contrast withpositive class. ",,"['binary classification', 'class', 'model', 'positive class', 'test']",,false,"(negative(\s|-)?clas|\s(\s|\.|\,))"
discrete feature,"Afeaturewith a finite set of possible values. For example,
a feature whose values may only beanimal,vegetable, ormineralis a
discrete (or categorical) feature. Contrast withcontinuous feature. ",,"['continuous feature', 'feature']",,false,"(discrete(\s|-)?feature|\s(\s|\.|\,))"
golden dataset,"A set of manually curated data that captures ground truth.
Teams can use one or more golden datasets to evaluate a model's quality. Some golden datasets capture different subdomains of ground truth. For example,
a golden dataset for image classification might capture lighting conditions
and image resolution.",,"['class', 'condition', 'ground truth', 'model']",,false,"(golden(\s|-)?dataset|\s(\s|\.|\,))"
hidden layer,"A layer in aneural networkbetween theinput layer(the features) and theoutput layer(the prediction).
Each hidden layer consists of one or moreneurons.
For example, the following neural network contains two hidden layers,
the first with three neurons and the second with two neurons:  Adeep neural networkcontains more than one
hidden layer. For example, the preceding illustration is a deep neural
network because the model contains two hidden layers.",,"['deep neural network', 'feature', 'input layer', 'layer', 'model', 'neural network', 'neuron', 'output layer', 'prediction', 'Tensor Processing Unit']",,false,"(hidden(\s|-)?layer|\s(\s|\.|\,))"
multinomial classification,Synonym for multi-class classification. ,,"['class', 'multi-class classification']",multi-class classification,true,"(multinomial(\s|-)?classificat|\smulti-class classification(\s|\.|\,))"
TensorFlow,"A large-scale, distributed, machine learning platform. The term also refers to
the base API layer in the TensorFlow stack, which supports general computation
on dataflow graphs. ",,"['graph', 'layer', 'machine learning', 'task', 'Tensor']",,false,"(TensorFlow|\s(\s|\.|\,))"
L1regularization,"A type ofregularizationthat penalizesweightsin proportion to the sum of the absolute value of
the weights. L1regularization helps drive the weights of irrelevant
or barely relevant features toexactly 0. Afeaturewith
a weight of 0 is effectively removed from the model. Contrast withL2regularization.",,"['feature', 'L2regularization', 'model', 'regularization', 'weight']",,false,"(L1regularizat|\s(\s|\.|\,))"
L2regularization,"A type ofregularizationthat penalizesweightsin proportion to the sum of thesquaresof the weights.
L2regularization helps driveoutlierweights (those
with high positive or low negative values) closer to 0 butnot quite to 0.
Features with values very close to 0 remain in the model
but don't influence the model's prediction very much. L2regularization always improves generalization inlinear models. Contrast withL1regularization.",,"['feature', 'generalization', 'L1regularization', 'linear', 'linear model', 'model', 'prediction', 'regularization', 'weight']",,false,"(L2regularizat|\sridge regularization(\s|\.|\,))"
LaMDA (Language Model for Dialogue Applications),"ATransformer-basedlarge language modeldeveloped by Google trained on
a large dialogue dataset that can generate realistic conversational responses. LaMDA: our breakthrough conversation
technologyprovides an overview.",,"['language model', 'large language model', 'model', 'Transformer']",,false,"(LaMDA(\s|-)?|\s(\s|\.|\,))"
Layers API (tf.layers),"A TensorFlow API for constructing adeepneural network
as a composition of layers. The Layers API lets you build different
types oflayers, such as: The Layers API follows theKeraslayers API conventions.
That is, aside from a different prefix, all functions in the Layers API
have the same names and signatures as their counterparts in the Keras
layers API.",,"['Keras', 'layer', 'neural network', 'Tensor', 'TensorFlow']",,false,"(Layers(\s|-)?API(\s|-)?|\s(\s|\.|\,))"
XLA (Accelerated Linear Algebra),"An open-source machine learning compiler for GPUs, CPUs, and ML accelerators. The XLA compiler takes models from popular ML frameworks such asPyTorch,TensorFlow, andJAX, and optimizes them
for high-performance execution across different hardware platforms including
GPUs, CPUs, and MLaccelerators. ",,"['JAX', 'machine learning', 'model', 'performance', 'Tensor', 'TensorFlow']",,false,"(XLA(\s|-)?|\s(\s|\.|\,))"
