id,path,title,ignore,synonyms
1,Machine_Learning_(journal),Machine Learning (journal),true,
2,Statistical_learning_in_language_acquisition,Statistical learning in language acquisition,true,
3,Statistical_learning,Statistical learning,true,
4,Timeline_of_machine_learning,Timeline of machine learning,true,
5,Data_compression,Data compression,true,
6,Computational_learning_theory,Computational learning theory,true,
7,Statistical_learning_theory,Statistical learning theory,true,
8,Supervised_learning,Supervised learning,false,
9,Unsupervised_learning,Unsupervised learning,false,
10,Cluster_analysis,Cluster analysis,false,
11,Semi-supervised_learning,Semi-supervised learning,false,
12,Reinforcement_learning,Reinforcement learning,false,
13,Feature_learning,Feature learning,true,
14,Sparse_dictionary_learning,Sparse dictionary learning,true,
15,Anomaly_detection,Anomaly detection,true,
16,Association_rule_learning,Association rule learning,true,
17,Inductive_logic_programming,Inductive logic programming,true,
18,Artificial_neural_network,Artificial neural network,false,
19,Deep_learning,Deep learning,false,
20,Decision_tree_learning,Decision tree learning,true,
21,Support-vector_machine,Support-vector machine,true,
22,Regression_analysis,Regression analysis,false,
23,Bayesian_network,Bayesian network,true,
24,Gaussian_processes,Gaussian processes,true,
25,Genetic_algorithm,Genetic algorithm,true,
26,Dempster–Shafer_theory,Dempster–Shafer theory,true,
27,Federated_learning,Federated learning,true,
28,Algorithmic_bias,Algorithmic bias,true,
29,Explainable_artificial_intelligence,Explainable artificial intelligence,true,
30,Overfitting,Overfitting,true,
31,AI_control_problem,AI control problem,true,
32,Toronto_Declaration,Toronto Declaration,true,
33,Ethics_of_artificial_intelligence,Ethics of artificial intelligence,true,
34,Automated_machine_learning,Automated machine learning,true,
35,List_of_datasets_for_machine-learning_research,List of datasets for machine-learning research,true,
36,Big_data,Big data,true,
37,Differentiable_programming,Differentiable programming,true,
38,AAAI_Conference_on_Artificial_Intelligence,AAAI Conference on Artificial Intelligence,true,
39,ACM_Computing_Classification_System,ACM Computing Classification System,true,
40,ADALINE,ADALINE,true,
41,AIXI,AIXI,true,
42,AI_boom,AI boom,true,
43,AI_safety,AI safety,true,
44,AI_takeover,AI takeover,true,
45,AI_winter,AI winter,true,
46,AT&T_Labs,AT&T Labs,true,
47,Action_selection,Action selection,true,
48,Activation_function,Activation function,true,
49,Active_learning_(machine_learning),Active learning (machine learning),true,
50,Adaptive_website,Adaptive website,true,
51,Adversarial_machine_learning,Adversarial machine learning,true,
52,Affective_computing,Affective computing,true,
53,Agriculture,Agriculture,true,
54,Alan_Mackworth,Alan Mackworth,true,
55,Alan_Turing,Alan Turing,true,
56,AlexNet,AlexNet,true,
57,Alex_Graves_(computer_scientist),Alex Graves (computer scientist),true,
58,Algorithm,Algorithm,true,
59,Algorithm_design,Algorithm design,true,
60,Algorithmic_efficiency,Algorithmic efficiency,true,
61,Algorithmic_transparency,Algorithmic transparency,true,
62,AlphaFold,AlphaFold,true,
63,AlphaGo,AlphaGo,true,
64,AlphaZero,AlphaZero,true,
65,Amazon_Machine_Learning,Amazon Machine Learning,true,
66,Analysis_of_algorithms,Analysis of algorithms,true,
67,Andrew_Ng,Andrew Ng,true,
68,Angoss,Angoss,true,
69,Anthropic,Anthropic,true,
70,Apache_Mahout,Apache Mahout,true,
71,Apache_Spark,Apache Spark,true,
72,Apache_SystemML,Apache SystemML,true,
73,Application_security,Application security,true,
74,Applications_of_artificial_intelligence,Applications of artificial intelligence,true,
75,Apprenticeship_learning,Apprenticeship learning,true,
76,Approximate_computing,Approximate computing,true,
77,Arithmetic_coding,Arithmetic coding,true,
78,Array_data_structure,Array data structure,true,
79,Arthur_Samuel_(computer_scientist),Arthur Samuel (computer scientist),true,
80,Artificial_general_intelligence,Artificial general intelligence,true,
81,Artificial_immune_system,Artificial immune system,true,
82,Artificial_intelligence,Artificial intelligence,true,
83,Artificial_intelligence_art,Artificial intelligence art,true,
84,Artificial_intelligence_in_government,Artificial intelligence in government,true,
85,Artificial_intelligence_in_healthcare,Artificial intelligence in healthcare,true,
86,Artificial_intelligence_in_industry,Artificial intelligence in industry,true,
87,Artificial_intelligence_in_mental_health,Artificial intelligence in mental health,true,
88,Artificial_intelligence_systems_integration,Artificial intelligence systems integration,true,
89,Artificial_neuron,Artificial neuron,true,
