taxonomy_term,term_regex
Trainable Layers,trainable(\s*|\-)?layer
Cluster Analysis,cluster(\s*|\-)?analysi
Temperature,temperature
One-Sample,one(\s*|\-)?sample
Resnet,resnet
Adapter Layers,adapter(\s*|\-)?layer
Sigmoid,sigmoid
Generative Adversarial Network,generative(\s*|\-)?adversarial(\s*|\-)?network
Least-Angle Regression,least(\s*|\-)?angle(\s*|\-)?regression
Co-Adaptation,co(\s*|\-)?adaptation
Part-Of-Speech Tagging,part(\s*|\-)?of(\s*|\-)?speech(\s*|\-)?tagging
Spectral Centroid,spectral(\s*|\-)?centroid
Pitch Shifting,pitch(\s*|\-)?shifting
Adversarial Training,adversarial(\s*|\-)?training
Feature Imputation,feature(\s*|\-)?imputation
R-Squared (R2),r(\s*|\-)?squared(\s*|\-)?\(r2\)
False Positive,false(\s*|\-)?positive
Gaussian Mixture Models,gaussian(\s*|\-)?mixture(\s*|\-)?model
Image Features,image(\s*|\-)?feature
Least Angle Regression,least(\s*|\-)?angle(\s*|\-)?regression
Distillation,distillation
Nesterov Accelerated Gradient,nesterov(\s*|\-)?accelerated(\s*|\-)?gradient
Retrieval Augmented Generation,retrieval(\s*|\-)?augmented(\s*|\-)?generation
Inductive Logic Programming,inductive(\s*|\-)?logic(\s*|\-)?programming
Peak Signal-To-Noise Ratio,peak(\s*|\-)?signal(\s*|\-)?to(\s*|\-)?noise(\s*|\-)?ratio
Feature-Group-Sample,feature(\s*|\-)?group(\s*|\-)?sample
Embeddings,embedding
K-Means Clustering,k(\s*|\-)?means(\s*|\-)?clustering
Multiple Imputation,multiple(\s*|\-)?imputation
Fine-Tuning,fine(\s*|\-)?tuning
Mean Absolute Percentage Error,mean(\s*|\-)?absolute(\s*|\-)?percentage(\s*|\-)?error
Accuracy,accuracy
Recall,recall
Latent Diffusion Models,latent(\s*|\-)?diffusion(\s*|\-)?model
Graphical Lasso,graphical(\s*|\-)?lasso
Mean Average Precision,mean(\s*|\-)?average(\s*|\-)?precision
Self-Training,self(\s*|\-)?training
Perceptual Loss,perceptual(\s*|\-)?los
Apriori Algorithm,apriori(\s*|\-)?algorithm
Correlation-Based,correlation(\s*|\-)?based
Automatic Mixed Precision,automatic(\s*|\-)?mixed(\s*|\-)?precision
Natural Language Processing Metrics,natural(\s*|\-)?language(\s*|\-)?processing(\s*|\-)?metric
Bayesian Optimization,bayesian(\s*|\-)?optimization
Orthogonal Initialization,orthogonal(\s*|\-)?initialization
Symmetric Mean Absolute Percentage Error (SMAPE),symmetric(\s*|\-)?mean(\s*|\-)?absolute(\s*|\-)?percentage(\s*|\-)?error(\s*|\-)?\(smape\)
Non-Negative Matrix Factorization,non(\s*|\-)?negative(\s*|\-)?matrix(\s*|\-)?factorization
Gaussian Naive Bayes,gaussian(\s*|\-)?naive(\s*|\-)?baye
Recurrent Layer,recurrent(\s*|\-)?layer
Q-Learning,q(\s*|\-)?learning
Regular Expressions,regular(\s*|\-)?expression
Shot Boundary Detection,shot(\s*|\-)?boundary(\s*|\-)?detection
Cross-Validation,cross(\s*|\-)?validation
Confusion Matrix,confusion(\s*|\-)?matrix
Newton'S Method,newton's(\s*|\-)?method
Eclat Algorithm,eclat(\s*|\-)?algorithm
Meta-Learning,meta(\s*|\-)?learning
Topic Modeling,topic(\s*|\-)?modeling
Boltzmann Machines,boltzmann(\s*|\-)?machine
Hierarchical Clustering,hierarchical(\s*|\-)?clustering
K-Medians,k(\s*|\-)?median
Probably Approximately Correct Learning,probably(\s*|\-)?approximately(\s*|\-)?correct(\s*|\-)?learning
Sparse Coding,sparse(\s*|\-)?coding
Non-Linear Activations,non(\s*|\-)?linear(\s*|\-)?activation
Resampling,resampling
Convolutional Neural Network,convolutional(\s*|\-)?neural(\s*|\-)?network
Fixed Learning Rate,fixed(\s*|\-)?learning(\s*|\-)?rate
Loss Curve,loss(\s*|\-)?curve
Fasttext,fasttext
Case-Based Reasoning,case(\s*|\-)?based(\s*|\-)?reasoning
Hessian-Based Methods,hessian(\s*|\-)?based(\s*|\-)?method
Concept Drift,concept(\s*|\-)?drift
Low-Density Separation,low(\s*|\-)?density(\s*|\-)?separation
Gradient Boosting,gradient(\s*|\-)?boosting
Model Evaluation & Testing,model(\s*|\-)?evaluation(\s*|\-)?\&(\s*|\-)?testing
Cyclic Learning Rates,cyclic(\s*|\-)?learning(\s*|\-)?rate
Fp-Growth Algorithm,fp(\s*|\-)?growth(\s*|\-)?algorithm
Leaky Relu,leaky(\s*|\-)?relu
Temporal Subsampling,temporal(\s*|\-)?subsampling
Vector Databases,vector(\s*|\-)?database
Adagrad,adagrad
VGG Loss,vgg(\s*|\-)?los
Chunk Selection,chunk(\s*|\-)?selection
Mahalanobis Distance,mahalanobis(\s*|\-)?distance
Synthetic Data,synthetic(\s*|\-)?data
Model Hyperparameters,model(\s*|\-)?hyperparameter
Bayesian Network,bayesian(\s*|\-)?network
Log Transformation,log(\s*|\-)?transformation
Stop Word Removal,stop(\s*|\-)?word(\s*|\-)?removal
Max Norm Constraints,max(\s*|\-)?norm(\s*|\-)?constraint
Focal Loss,focal(\s*|\-)?los
Mean Squared Error,mean(\s*|\-)?squared(\s*|\-)?error
Hard Parameter Sharing,hard(\s*|\-)?parameter(\s*|\-)?sharing
Principal Component Analysis,principal(\s*|\-)?component(\s*|\-)?analysi
Adding Channel Dimension,adding(\s*|\-)?channel(\s*|\-)?dimension
Hidden Markov Models,hidden(\s*|\-)?markov(\s*|\-)?model
Named-Entity Recognition,named(\s*|\-)?entity(\s*|\-)?recognition
Optical Flow,optical(\s*|\-)?flow
Autoencoder,autoencoder
Recall At K,recall(\s*|\-)?at(\s*|\-)?k
Mean Absolute Error,mean(\s*|\-)?absolute(\s*|\-)?error
Association Rule Learning,association(\s*|\-)?rule(\s*|\-)?learning
Dependency Parsing,dependency(\s*|\-)?parsing
Character N-Grams,character(\s*|\-)?n(\s*|\-)?gram
Ripple Down Rules,ripple(\s*|\-)?down(\s*|\-)?rule
Label Leakage,label(\s*|\-)?leakage
Kolmogorov-Smirnov Test,kolmogorov(\s*|\-)?smirnov(\s*|\-)?test
SURF (Speeded Up Robust Features),surf(\s*|\-)?\(speeded(\s*|\-)?up(\s*|\-)?robust(\s*|\-)?features\)
Step Decay,step(\s*|\-)?decay
Reduce On Plateau,reduce(\s*|\-)?on(\s*|\-)?plateau
Wasserstein Loss,wasserstein(\s*|\-)?los
Regression Analysis,regression(\s*|\-)?analysi
Probabilistic Metrics,probabilistic(\s*|\-)?metric
Max Pooling,max(\s*|\-)?pooling
Wrapper Methods,wrapper(\s*|\-)?method
Power Transformation,power(\s*|\-)?transformation
Stochastic Gradient Descent,stochastic(\s*|\-)?gradient(\s*|\-)?descent
2D To 1D,2d(\s*|\-)?to(\s*|\-)?1d
Gaussian Process Regression,gaussian(\s*|\-)?process(\s*|\-)?regression
Gradient Descent Algorithms,gradient(\s*|\-)?descent(\s*|\-)?algorithm
Gradient Boosted Decision Tree,gradient(\s*|\-)?boosted(\s*|\-)?decision(\s*|\-)?tree
Word N-Grams,word(\s*|\-)?n(\s*|\-)?gram
Multi-Class Classification,multi(\s*|\-)?class(\s*|\-)?classification
Text Augmentation,text(\s*|\-)?augmentation
Spatio-Temporal Interest Points,spatio(\s*|\-)?temporal(\s*|\-)?interest(\s*|\-)?point
Probabilistic Loss,probabilistic(\s*|\-)?los
Transfer Learning,transfer(\s*|\-)?learning
L-BFGS,l(\s*|\-)?bfg
Normalized Discounted Cumulative Gain,normalized(\s*|\-)?discounted(\s*|\-)?cumulative(\s*|\-)?gain
Instruction Tuning,instruction(\s*|\-)?tuning
Gradient Freezing,gradient(\s*|\-)?freezing
Regularization Layers,regularization(\s*|\-)?layer
Binary Classification,binary(\s*|\-)?classification
Data Restructuring,data(\s*|\-)?restructuring
Multivariate Adaptive Regression Splines,multivariate(\s*|\-)?adaptive(\s*|\-)?regression(\s*|\-)?spline
Computational Efficiency,computational(\s*|\-)?efficiency
Scaling,scaling
Validation Techniques,validation(\s*|\-)?technique
Hierarchical Classifier,hierarchical(\s*|\-)?classifier
Tanh,tanh
Easyensemble,easyensemble
Continuous Value Prediction,continuous(\s*|\-)?value(\s*|\-)?prediction
Zero-Shot Prompting,zero(\s*|\-)?shot(\s*|\-)?prompting
Word Embeddings,word(\s*|\-)?embedding
Root Mean Squared Error,root(\s*|\-)?mean(\s*|\-)?squared(\s*|\-)?error
Minimax Loss,minimax(\s*|\-)?los
Random Search,random(\s*|\-)?search
Overfitting,overfitting
Self-Supervised Learning,self(\s*|\-)?supervised(\s*|\-)?learning
Spectral Rolloff,spectral(\s*|\-)?rolloff
Long Short-Term Memory,long(\s*|\-)?short(\s*|\-)?term(\s*|\-)?memory
Unsupervised Learning,unsupervised(\s*|\-)?learning
Regression Imputation,regression(\s*|\-)?imputation
Feature Transformation,feature(\s*|\-)?transformation
Random Undersampling,random(\s*|\-)?undersampling
Conditional Random Field,conditional(\s*|\-)?random(\s*|\-)?field
Normal Distribution,normal(\s*|\-)?distribution
Linear Discriminant Analysis,linear(\s*|\-)?discriminant(\s*|\-)?analysi
Max Tokens,max(\s*|\-)?token
Threshold Moving,threshold(\s*|\-)?moving
Error Correction,error(\s*|\-)?correction
Video Features,video(\s*|\-)?feature
Mini-Batch Gradient Descent,mini(\s*|\-)?batch(\s*|\-)?gradient(\s*|\-)?descent
Temporal Difference Learning,temporal(\s*|\-)?difference(\s*|\-)?learning
Ensemble Methods,ensemble(\s*|\-)?method
Ordinal Classification,ordinal(\s*|\-)?classification
Bayesian Belief Network,bayesian(\s*|\-)?belief(\s*|\-)?network
Standardization,standardization
Davies-Bouldin Index,davies(\s*|\-)?bouldin(\s*|\-)?index
Handling Missing Values,handling(\s*|\-)?missing(\s*|\-)?value
Diffusion Models,diffusion(\s*|\-)?model
Policy-Based Methods,policy(\s*|\-)?based(\s*|\-)?method
Large Language Models,large(\s*|\-)?language(\s*|\-)?model
ADASYN (Adaptive Synthetic),adasyn(\s*|\-)?\(adaptive(\s*|\-)?synthetic\)
Ml Methods,ml(\s*|\-)?method
Inception Score,inception(\s*|\-)?score
Activation Functions,activation(\s*|\-)?function
Bayesian Statistics,bayesian(\s*|\-)?statistic
Logistic Model Tree,logistic(\s*|\-)?model(\s*|\-)?tree
BLEU Score,bleu(\s*|\-)?score
Supervised Learning,supervised(\s*|\-)?learning
Concatenating Datasets,concatenating(\s*|\-)?dataset
Glorot/Xavier Initialization,glorot/xavier(\s*|\-)?initialization
Constraints,constraint
Advanced Training Strategies,advanced(\s*|\-)?training(\s*|\-)?strategie
Parameter Norm Penalties,parameter(\s*|\-)?norm(\s*|\-)?penaltie
Layer Normalization,layer(\s*|\-)?normalization
Binary Classifier,binary(\s*|\-)?classifier
Multi-Dimensional To 1D,multi(\s*|\-)?dimensional(\s*|\-)?to(\s*|\-)?1d
Batch-Sample,batch(\s*|\-)?sample
Multi-Dimensional Scaling,multi(\s*|\-)?dimensional(\s*|\-)?scaling
Data Preparation And Feature Engineering,data(\s*|\-)?preparation(\s*|\-)?and(\s*|\-)?feature(\s*|\-)?engineering
Statistical Metrics,statistical(\s*|\-)?metric
Fréchet Inception Distance,fréchet(\s*|\-)?inception(\s*|\-)?distance
Zero Weight Initialization,zero(\s*|\-)?weight(\s*|\-)?initialization
Batch Normalization,batch(\s*|\-)?normalization
Text Representation,text(\s*|\-)?representation
Soft Prompt Tuning,soft(\s*|\-)?prompt(\s*|\-)?tuning
3D Convolutional Features,3d(\s*|\-)?convolutional(\s*|\-)?feature
